id,first_name,last_name,email,shoe_type,shoe_material,shoe_color
54791,Rebecca,Lindsay,RebeccaLindsay57@hotmail.com,clogs,faux-leather,black
53450,Emily,Joyce,EmilyJoyce25@gmail.com,ballet flats,faux-leather,navy
91987,Joyce,Waller,Joyce.Waller@gmail.com,sandals,fabric,black
14437,Justin,Erickson,Justin.Erickson@outlook.com,clogs,faux-leather,red
79357,Andrew,Banks,AB4318@gmail.com,boots,leather,brown
52386,Julie,Marsh,JulieMarsh59@gmail.com,sandals,fabric,black
20487,Thomas,Jensen,TJ5470@gmail.com,clogs,fabric,navy
76971,Janice,Hicks,Janice.Hicks@gmail.com,clogs,faux-leather,navy
21586,Gabriel,Porter,GabrielPorter24@gmail.com,clogs,leather,brown
62083,Frances,Palmer,FrancesPalmer50@gmail.com,wedges,leather,white
37581,Michael,Stevens,MichaelStevens33@gmail.com,boots,leather,black
48276,Jennifer,Carter,JenniferCarter42@gmail.com,sneakers,fabric,gray
92847,Robert,Taylor,RobertTaylor77@hotmail.com,loafers,suede,navy
58362,Laura,Adams,LauraAdams19@gmail.com,heels,faux-leather,red
94718,William,Scott,WilliamScott31@gmail.com,boots,leather,brown
62159,Jessica,Collins,JessicaCollins88@gmail.com,sandals,fabric,blue
75248,Daniel,Harris,DanielHarris10@gmail.com,clogs,faux-leather,black
39482,Susan,White,SusanWhite56@gmail.com,flip-flops,rubber,pink
86451,David,Robinson,DavidRobinson23@gmail.com,sneakers,fabric,white
41975,Karen,Martinez,KarenMartinez72@gmail.com,loafers,leather,gray
